show_title,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name
A Tale Dark & Grimm,TV (English),tt2386826,tvSeries,A Tale Dark & Grimm,A Tale Dark & Grimm,0,2021,2021,26,"Action,Adventure,Animation",7.3,1740,"nm2259362,nm0926306","Jamie Whitney, Simon Otto"
On My Block,TV (English),tt11891006,tvEpisode,On My Block,On My Block,0,2020,\N,\N,Talk-Show,7.1,27,\N,
The Baby-Sitters Club,TV (English),tt8690518,tvSeries,The Baby-Sitters Club,The Baby-Sitters Club,0,2020,2021,\N,"Adventure,Comedy,Drama",7.5,4596,"nm1260607,nm0525659,nm3622659,nm1487468,nm0579318,nm2440581,nm3069582","Robert Luketic, Linda Mendoza, Kimmy Gatewood, Luke Matheny, Andrew DeYoung, Heather Jack, Lucia Aniello"
Grey's Anatomy,TV (English),tt2173849,tvEpisode,Grey's Anatomy,Grey's Anatomy,0,2012,\N,42,Talk-Show,8.6,21,nm1131716,Debbie Miller
House of Secrets: The Burari Deaths,TV (Non-English),tt14167390,tvMiniSeries,House of Secrets: The Burari Deaths,House of Secrets: The Burari Deaths,0,2021,2021,135,"Crime,Documentary,History",7.4,12208,"nm4412167,nm1636742","Leena Yadav, Anubhav Chopra"
Lucifer,TV (English),tt11912564,tvEpisode,Lucifer,Lucifer,0,2020,\N,42,Crime,6.9,8,\N,
Dave Chappelle: The Closer,TV (English),tt15523010,tvSpecial,Dave Chappelle: The Closer,Dave Chappelle: The Closer,0,2021,\N,72,Comedy,7.9,28014,nm0490133,Stan Lathan
Scaredy Cats,TV (English),tt15387774,tvSeries,Scaredy Cats,Scaredy Cats,0,2021,2021,\N,"Comedy,Family,Fantasy",6.3,464,nm0574516,Anna McRoberts
Clickbait,TV (English),tt22506048,tvSeries,Clickbait,Clickbait,0,2022,\N,15,Comedy,,,nm0709676,Robert Randall
The Seven Deadly Sins,TV (Non-English),tt15434910,tvEpisode,The Seven Deadly Sins,The Seven Deadly Sins,0,2021,\N,\N,Talk-Show,,,\N,
